标题,链接,排名,反链数,简介
重庆大学研究生院,/site_graduate.cqu.edu.cn.html,8234,16,网站简介：重庆大学是一所国家教育部直属的、拥有研究生院，本科专业涵盖了理、工、 文、经、管、法、教育等学科门类的全国著名综合性重点大学，也是国家 “211工程”和“985工程”首...
丽水职业技术学院,/Html/site_lszjy.com.html,12670543,40,网站简介：丽水职业技术学院办学起源于1910年萧文昭创办的处州种植学堂，建校基础是创办于1953年的省部级重点中专浙江林业学校和创办于1977年的省属浙江丽水商业学校， 2000年12月合并...
简单学习网,/Html/site_jd100.com.html,143224,501,"网站简介：简单学习网，中学网校首选。依托北京大学研发的“CAT技术”,是中国第一家互动视频网校。简单学习网为您提供网络课程,中考网络视频课程辅导,高考网络视频课程辅导。..."
上海音乐学院,/Html/site_shcmusic.edu.cn.html,1619355,310,网站简介：上海音乐学院前身是革命家、教育家、思想家蔡元培先生和音乐教育家萧友梅博士于1927年11月27日共同创办的国立音乐院。首任院长为蔡元培先生。1929年9月更名为国立音乐专科学...
北方工业大学,/site_www.ncut.edu.cn.html,185147,61,网站简介：北方工业大学是一所以工为主、文理兼融，具有学士、硕士、博士培养层次和高水平棒垒球运动员招收资格的多科性高等学府，具有硕士研究生免试推荐资格，是教育部“卓越工程师...
湖南信息职业技术学院官网,/Html/site_hniu.cn.html,927183,75,网站简介：湖南信息职业技术学院是湖南省示范性高等职业院校，是湖南省经济和信息化委员会唯一直属公办高校。...
广西艺术学院,/Html/site_gxau.edu.cn.html,221121,87,网站简介：广西艺术学院位于广西壮族自治区首府南宁市，是全国6所综合性普通本科高等艺术院校之一，2012年成为中华人民共和国文化部与广西壮族自治区人民政府共建的高校。...
中原工学院,/Html/site_zzti.edu.cn.html,969188,109,网站简介：中原工学院（Zhongyuan University of Technology），简称“中工”，地处河南省省会郑州，始建于1955年，以纺织、服装为特色，工、管、文、理、经、法、艺多学科会聚发展的...
深圳教育在线,/Html/site_szedu.net.html,7348246,113,"网站简介：深圳教育在线（www.szedu.net）是深圳大的教育培训行业门户网站,提供专业的深圳考研硕士、研修班(mba、mpa、工程硕士、emba、edp、研修班);成人教育(成人高考、自考、网络教..."
第一口语网,/Html/site_1speaking.com.html,7265895,8,网站简介：中国首创以海量的情景英语视频教程，来模拟营造出了良好的英语语言环境，让学习英语口语就像学习母语一样，不但轻松有趣，更是立竿见影，不信你也来试一试。...
WordPress大学,/Html/site_wpdaxue.com.html,18941,44,"网站简介：WordPress大学专注于wordpress建站教学,提供wordpress主题,wordpress插件,wordpress代码和wordpress教程等一站式服务,让每一个人都能成为wordpress高手...."
西陆军事,/site_junshi.xilu.com.html,16260,2553,网站简介：西陆军事网是中国第一军事门户新闻网站，关注中国军事利益，对比国际军事力量，探寻军事战略，解读军事战争历史，求索强国之路....
高思教育,/Html/site_gaosiedu.com.html,53436,187,网站简介：高思教育立志做高品质教育，专注于中小学的课外辅导培训，提供中小学新资讯及学习方法，家教式一对一服务，高思教育让孩子爱上学习，收获成长！...
蚌埠医学院,/Html/site_bbmc.edu.cn.html,301760,48,网站简介：蚌埠医学院...
河北省图书馆,/Html/site_helib.net.html,768731,75,网站简介：河北省图书馆是政府兴办的省级综合性公共图书馆，是河北省社会主义科学、教育、文化事业的重要组成部分，是向社会公众提供书刊阅读和知识咨询服务的学术性机构，是河北省藏...
蚌埠学院,/Html/site_bbc.edu.cn.html,1896522,31,网站简介：　蚌埠学院是教育部2007年批准设立的省属普通本科高校，由原蚌埠高等专科学校、蚌埠教育学院、蚌埠职工大学三所学校合并组建，有30多年的办学历史。...
第四军医大学,/site_www.fmmu.edu.cn.html,212085,82,网站简介：中国人民解放军第四军医大学是一所为军队培养高层次医学专业人才的全国重点大学。学校1954年由原第四军医大学和原第五军医大学合并而成。原第四军医大学的前身是创建于1941...
渤海大学,/Html/site_bhu.edu.cn.html,1093599,52,网站简介：渤海大学建于1950年2月，是辽宁省政府举办的综合性大学，位于渤海之滨的历史文化名城辽宁省锦州市。...
听力特快,/Html/site_listeningexpress.com.html,274986,43,网站简介：听力特快网（www.listeningexpress.com）站始建于2001年，是一个免费公益型英语听力资源学习网站。主要提供VOA、BBC、CNN、CRI等英语听力共享教学资料的下载。...
新乡学院,/Html/site_xxu.edu.cn.html,1985384,33,网站简介：新乡学院（Xinxiang University）是一所公办全日制普通本科院校，坐落在豫北历史名城新乡市，隶属河南省教育厅，是一所具有地方特色的应用型大学。...
成都中医药大学,/site_www.cdutcm.edu.cn.html,566903,117,网站简介：成都中医药大学原名成都中医学院，是在周恩来等党和国家第一代领导集体的亲切关怀下于1956年创建， 1995年经国家教委批准更为现名， 2006年6月四川生殖卫生学院、四川省卫生...
南宁职业技术学院,/Html/site_ncvt.net.html,666474,76,网站简介：南宁职业技术学院前身为创建于1984年的南宁职业大学，是由南宁市人民政府举办、区市共建的一所全日制综合性高等职业院校。2009年12月，学校通过教育部、财政部示范建设验收...
池州学院,/Html/site_czu.edu.cn.html,148244,22,网站简介：池州学院始建于1977年，始为安徽劳动大学池州地区专科班， 1980年正式定名为池州师范专科学校，1999年原池州工业学校并入，2002年原安徽省经贸学校并入，2007年经教育部批准...
黑龙江科技大学,/Html/site_usth.edu.cn.html,339009,22,网站简介：黑龙江科技大学是黑龙江、吉林乃至内蒙地区唯一一所以矿业工程为特色的高校，是黑龙江省人民政府与国家安全生产监督管理总局共建高校，是国家教育部教学工作水平评估优秀高...
南京林业大学,/site_www.njfu.edu.cn.html,139300,124,网站简介：以林业为主体，林、农、牧、渔等多种产业相结合的院校。...
河北工业职业技术学院,/Html/site_hbcit.edu.cn.html,373670,21,网站简介：中国是钢铁第一大国。河北工业职业技术学院是河北省规模大、办学历史悠久的以钢铁冶金为特色的高职院校，河北省钢铁冶金职教集团牵头单位，河北省示范性高等职业院校，国家...
重庆工商大学派斯学院,/Html/site_paisi.edu.cn.html,744068,47,网站简介：重庆工商大学派斯学院是重庆工商大学于1999年按新机制、新模式举办的普通本科层次的全日制二级学院。2003年经国家教育部（教发函[2003]541号）批准确认为独立学院。是一所以...
英语教师网,/Html/site_ewteacher.com.html,915037,214,网站简介：英语教师网，拥有教案、学案、课件、试题、辅导、中高考复习及论文培训、网课资源20多万套，内容涵盖小初高各版本英语教材，更新速度快。英语教师网，让英语教学变得更轻松...
长治医学院,/Html/site_czmc.com.html,497030,37,网站简介：长治医学院座落在素有红色之都、魅力之城美誉的山西省长治市，位于长治市解放东街161号，是一所省属全日制普通高等医学院校。...
上海市金山区教育门户网,/Html/site_jsedu.sh.cn.html,689143,117,网站简介：上海市金山区教育局 官方网站...
鲁东大学,/Html/site_ldu.edu.cn.html,7560632,150,网站简介：鲁东大学坐落在山东省烟台市，是一所以文理工为主体、多学科协调发展的省重点建设高校。2012年，成为首批服务国家特殊需求博士人才培养项目单位、山东省应用型人才培养特色...
天道留学,/Html/site_tiandaoedu.com.html,302798,1189,"网站简介：天道留学（tiandaoedu.com）是第一个专注欧美一流名校出国留学咨询的留学中介公司,2011美国常春藤名校留学申请成功录取214份,TOP30录取813份,出国留学顾问来自哈佛耶鲁芝加..."
九江职业大学,/Html/site_jjvu.jx.cn.html,791134,287,网站简介：九江职业大学是1985年经国家教育部批准成立的公办全日制普通高校，也是九江唯一的市属高等职业院校。...
沪江小学资源网,/site_xiaoxue.hujiang.com.html,3429,4286,网站简介：沪江小学资源网提供小学语文、数学、英语、奥数、作文日记等学习资料和学习方法，丰富的学习资源帮助小学生更好的掌握学习方法，提高学习成绩。...
格言网,/Html/site_geyanw.com.html,151361,184,网站简介：格言网精选关于读书的名言、名人名言、人生格言、励志名言、名言佳句、座右铭、励志的句子、经典爱情格言、名言警句大全。品读名言名句，感悟人生哲理、激发内心力量。...
UFO探索网,/Html/site_ufo-1.cn.html,120908,192,"网站简介：外星探索网收集提供UFO,未解之谜,ufo视频,UFO新闻,UFO事件,UFO图片,ET外星人,目击报告等探索发现信息,让大家畅快的讨论宇宙,地外相关信息。..."
上海新国际博览中心,/Html/site_sniec.net.html,8504549,114,网站简介：上海新国际博览中心(SNIEC)由上海陆家嘴展览发展有限公司与德国展览集团国际有限公司（成员包括德国汉诺威展览公司/ 德国杜塞尔多夫博览会有限公司/ 德国慕尼黑国际展览中心...
浙江万里学院 招生网,/Html/site_zsw.zwu.edu.cn.html,113508,11,网站简介：浙江万里学院招生网是浙江万里学院官方网站下的招生专网，主要针对想报考浙江万里学院的考生，发布各类招生信息。...
99宿舍全国大学英语四六级考试查询,/site_cet.99sushe.com.html,357630,1329,网站简介：全国大学英语四六级考试官方成绩查询网站...
武汉音乐学院,/Html/site_whcm.edu.cn.html,10974215,143,网站简介：武汉音乐学院(Wuhan conservatory of Music)是全国9所独立设置的音乐学院之一，也是中国中部地区唯一独立设置的高等音乐学府。...
中公浙江人事考试网,/site_zj.offcn.com.html,1752,253,网站简介：浙江公务员考试网：第一时间发布浙江人事考试网及浙江省公务员考试网公职招考信息，包括浙江公务员考试网上报名、公告大纲、职位表、考试时间等浙江人事考试网考试信息。浙...
广东教育考试服务网,/Html/site_eesc.com.cn.html,4907913,346,"网站简介：提供各种考试信息，普通高考,自学考试,成人高考,研究生考试,大学生英语四六级考试,全国计算机等级考试,全国英语等级考试,中职专业技能课程考试
高中学业..."
湖南铁道职业技术学院,/Html/site_hnrpc.com.html,539745,27,网站简介：湖南铁道职业技术学院...
北京服装学院,/Html/site_bift.edu.cn.html,170186,331,网站简介：北京服装学院是全国唯一一所以服装命名、艺工融合为办学特色的全日制公办普通高等学校。1959年建校，原名为北京纺织工学院，隶属纺织工业部。1961年，更名为北京化学纤维工...
中博教育,/site_www.zbgedu.com.html,139662,0,网站简介：中博教育始于2004年，总部设于北京。历经十三年，发展成为在全国拥有7家成员企业、49个分公司、1500人非教学员工的企业，业务范围涵盖ACCA、CMA、CFA、FRM、CIMA、CICPA等国...
广东学习网,/Html/site_gdsjxjy.com.html,4063502,25,网站简介：...
黄冈师范学院,/Html/site_hgnc.net.html,733862,58,网站简介：黄冈师范学院地处大别山南麓人文重镇――黄冈市，北依东坡赤壁、南临浩瀚长江，地理位置优越，校园环境幽雅，是一所师范教育特色显著、师范与非师范教育均衡发展的多科性普...
东莞理工学院城市学院,/Html/site_ccdgut.edu.cn.html,3208256,45,网站简介：东莞理工学院城市学院，是广东省独立学院中拥有省级精品课程和获得教学成果奖的学校。座落于中国具魅力、具经济活力的现代制造业名城、全国文明城市--东莞，涵盖了工、理、...
畅言网,/Html/site_isay365.com.html,2759869,57,网站简介：提供普通话水平测试、普通话考试、普通话测试考前模拟测试及在线学习辅导；英语人机互动式口语听力测试、学习服务，采用迄今唯一通过国家语委鉴定的智能口语测试系统。...
京佳教育,/Html/site_jingjia.org.html,6531534,806,网站简介：京佳教育(www.jingjia.org)成立于2001年，集面授培训、网络教学、图书出版发行等为一体，现拥有专、兼职教师和资深研究300多人，主营公务员、政法干警、招警、选调生、军转...
爱词霸英语沙龙,/site_news.iciba.com.html,4120,75,网站简介：iciba英语沙龙为对英语有兴趣的用户提供大量的双语新鲜资讯以及职场、考试指南类文章，帮助用户提高英语水平。...
第二军医大学,/site_www.smmu.edu.cn.html,430940,83,网站简介：中国人民解放军第二军医大学创建于1949年9月，时称“华东军区人民医学院”。1950年改称上海军医大学。1951年7月正式定名为第二军医大学。目前，学校是国家“211工程”、军队...
四川大学研究生院,/site_gs.scu.edu.cn.html,2760,82,网站简介：四川大学是国内早招收和培养研究生的大学之一。1914年原华西协合大学（华西医科大学前身）与美国纽约州立大学开始联合培养博士研究生，1920年开始授予博士学位，1939年原四...
广东轻工职业技术学院,/Html/site_gdqy.edu.cn.html,1118267,95,网站简介：广东轻工职业技术学院是国家示范性高职院校，前身是创建于1933年的“广东省立第一职业学校”。联系电话：020-61230200（院办），020-61230198（招生办）。...
三好网,/Html/site_sanhao.com.html,173902,22,网站简介：三好网(www.sanhao.com)成立于2014年6月，是一家基于互联网直播互动技术、在线1对1为主导的个性化教学服务平台，隶属于北京三好互动教育科技有限公司。由传统线下教育领域、...
广东交通职业技术学院,/site_www.gdcp.cn.html,258262,22,网站简介：广东交通职业技术学院创办于1959年，1999年经教育部批准，由广东交通学校、广东省航运学校合并组建而成，是一所省教育厅主管、行业特色鲜明、工科为主的综合性高等职业院校...
江西新华电脑学院,/Html/site_jxxhdn.com.html,145973,33,"网站简介：江西新华电脑学院是江西省规模庞大的电脑技术人才培训机构,是新华电脑教育集团旗下江西电脑培训学校,南昌电脑培训学院,学电脑,学it技术的首选电脑学校。0791-85225588..."
道教之音,/Html/site_daoisms.org.html,2354184,88,网站简介：“道教之音”以道门名宿，教内时讯等为纲；以洞辅经籍、阴阳术数、保命养生、经韵科仪、宫观流派、宗教政策、法物通考、教法释疑、图文下载等为目之道教综合门户网站。道教...
江苏交通学习网,/Html/site_jsjtxx.com.html,446691,16,网站简介：江苏交通学习网，是面向江苏省道路运输全行业提供在线学习的新型远程培训平台。平台可提供驾驶人资格培训、道路运输从业人员继续教育培训、运管人员在线培训、企业员工内部...
中国大学生在线,/Html/site_univs.cn.html,577676,902,网站简介：“中国大学生在线”网站是由教育部主办、高等教育出版社承办，贴近高校及大学生的实际和需求，以多种形式报道大学生的学习和生活，为丰富多彩的校园活动提供网络支持，以实...
重庆工程职业技术学院,/site_www.cqvie.edu.cn.html,300847,14,网站简介：重庆工程职业技术学院是一所由重庆市人民政府举办，重庆市教育委员会主管的全日制普通高等职业学校。学院创办于1951年10月，前身是隶属中央部委的国家级重点中专。1998年试...
维基百科,/site_zh.wikipedia.org.html,8,8085,网站简介：维基百科是一个基于wiki技术的多语言百科全书协作计划，也是一部用不同语言写成的网路百科全书，其目标及宗旨是为全人类提供自由的百科全书──用他们所选择的语言来书写而...
西南大学研究生招生信息网,/site_yanzhao.swu.edu.cn.html,11288,8,"网站简介：西南大学研究生招生信息网，提供研究生招生的通知,导师信息查询,考生信息核对,考生成绩查询等服务..."
中国民航飞行学院,/Html/site_cafuc.edu.cn.html,381485,66,网站简介：中国民用航空飞行学院（Civil Aviation Flight University of China）位于成都平原的腹地——四川省广汉市，是中央部属高校、联合国重点推广的“MPL”课程试点单位，被誉为...
中小学教育网,/Html/site_g12e.com.html,7993917,1811,网站简介：中小学教育网，依托国家基础教育资源共建共享联盟和人大附中优秀的教学资源，打造中国专业的中小学辅导网站，网校主要有小学辅导、初中辅导，高中辅导、人大附中校本课、奥...
语文资源网,/Html/site_eywedu.com.html,9217657,1522,"网站简介：语文资源网（www.eywedu.com）语文新课程资源网,语文资源网。..."
中国科学文献服务系统,/Html/site_sciencechina.cn.html,424255,34,网站简介：中国科学文献服务系统包括“中国科学引文数据库”和“中国学科文献数据库”，收录 1985年至今中英文科技核心期刊和优秀期刊2000余种；科学引文库起始1989年以来600余种核心...
心理成长,/Html/site_yuzeli.com.html,149572,4,网站简介：心理成长聚焦于个人成长方面，主要为网友提供心理成长方面的工具。...
上海邦德职业技术学院,/Html/site_shbangde.com.html,534344,14,"网站简介：上海邦德职业技术学院是一所于1998年筹建、2002年经上海市人民政府批准成立并经教育部备案的民办高校，在全国招收计划内全日制学生，颁发教育部统一电子注册大专文凭。
拥..."
考拉网 ,/Html/site_kaola100.com.html,171982,410,"网站简介：考拉网是领先的远程教育培训平台，为全国百万考生提供医学卫生考试、建筑工程考试、职业资格考试、学历教育四大类考试科目的考试信息、考试题库、视频课程,致力做专业的考试..."
中国文化艺术网,/Html/site_orgcc.com.html,1669272,201,网站简介：中国文化艺术网（www.orgcc.com）创办于2007年5月，它是由中国中艺传媒集团有限公司投巨资打造的大型文化艺术类综合门户网站。致力于打造独特模式的区域文化艺术服务平台，...
大方广,/Html/site_dfg.cn.html,1239030,178,网站简介：...
中华会计网校继续教育,/site_jxjyxuexi.chinaacc.com.html,5516,28,"网站简介：中华会计网校继续教育网,为您提供会计继续教育网上培训系统,会计人员继续教育网,会计继续教育培训时间,会计继续教育网上考试,会计继续教育考试答案,会计继续教育网站.中华会..."
译言网,/Html/site_yeeyan.org.html,128118,6525,"网站简介：译言网 发现、翻译、阅读中文之外的互联网精华
..."
重庆大学城市科技学院,/Html/site_cqucc.com.cn.html,532728,30,网站简介：重庆大学城市科技学院是经国家教育部批准设立的一所以本科教育为主的综合性全日制普通高等学校。学校是按照教育部相关文件规定，由教育部直属重点大学、国家“211工程”和“...
广西医科大学研究生学院,/site_yjs.gxmu.edu.cn.html,949003,48,网站简介：广西医科大学的研究生教育始于1978年，1981年获得首批硕士学位授予学科，1984年批准为第二批博士学位授权单位，1992年具有推荐优秀应届本科毕业生免试攻读硕士学位研究生资...
 德智教育,/Html/site_dezhi.com.html,1949806,552,网站简介：德智教育(德智天成教育科技)为广大中小学生提供基于各学科的知识点总结、考点分析、误区提醒、中高考真题、在线测试、课程学习、知识拓展等服务！...
短文学网,/Html/site_duanwenxue.com.html,320240,861,网站简介：短文学网（www.duanwenxue.com），精选推荐短篇原创文学。在线阅读伤感日志，经典语录，qq日志及情感文章，心情故事；或发表心情日记，情感日记，心情短语。经典文章语录，...
萍乡学院,/Html/site_pxc.jx.cn.html,164502,110,网站简介：萍乡学院坐落于江西省萍乡市，是经教育部批准设置的全日制公办普通本科院校。学校办学始于1941年创办的省立萍乡师范学校，1993年更名为萍乡高等专科学校，2013年经教育部评...
安康学院,/Html/site_aku.edu.cn.html,725504,23,网站简介：安康学院是安康市唯一一所省属全日制普通本科院校，以培养具有较高综合素质和创新精神的应用型人才为主要任务。...
中央财经大学研究生院,/site_gs.cufe.edu.cn.html,16528,6,网站简介：?中央财经大学研究生院是在原研究生部的基础上于2011年10月建立，其前身是1986年成立的研究生处。1992年，为适应研究生教育管理体制发展的需要，撤消研究生处并成立研究生...
互动吧,/site_www.hdb.com.html,427067,683,网站简介：互动吧厦门活动平台，提供厦门活动宣传，厦门会议营销，厦门亲子活动，厦门培训活动，厦门户外活动，厦门互联网活动，厦门创业活动等多种行业活动发布，厦门一站式综合活动...
石家庄学院,/Html/site_sjzc.edu.cn.html,1112066,196,"网站简介：石家庄学院,www.sjzc.edu.cn,民友网络,新媒体,电子政务,政府门户,教育门户,媒体门户,企业门户,知识门户,网站群,内容管理,网站云平台,信息化,信息发布,音视频点播,流媒体,Mi..."
湖北人事考试网,/site_hu.offcn.com.html,1752,207,网站简介：湖北人事考试网提供湖北人事考试、湖北公务员成绩查询、湖北&#160;公务员面试时间、面试名单、湖北事业单位考试、事业单位招聘，公务员考试培训、事业单位考试培训&#160;及...
馒头商学院,/Html/site_mtedu.com.html,33612,8,网站简介：馒头商学院是一家主打商学领域的在线教育服务平台，隶属于北京麦拓教育科技有限公司。...
东北电力大学,/site_www.neepu.edu.cn.html,242219,0,网站简介：东北电力大学坐落在风景秀美的吉林省吉林市。学校是吉林省重点大学，始建于1949年，是新中国建立的第一所电力工科学校，1958年定名为吉林电力学院，1978年更名为东北电力学...
青海民族大学,/site_www.qhmu.edu.cn.html,434517,102,网站简介：青海民族大学创建于1949年12月，是青海建立早的高校和新中国建校早的民族院校之一，是全国首批获得硕士学位授予权单位。2002年青海师范专科学校实质性并入学校，2005年青海...
北京中公教育,/site_bj.offcn.com.html,1752,627,网站简介：【北京人事考试网】提供国家公务员考试网、北京公务员考试网、北京人事考试网报名考试录用信息、职位表、成绩查询、面试名单、历年真题及更多北京人事考试信息-北京人事考试...
广西科技师范学院,/Html/site_gxlztc.net.html,7137490,103,网站简介：广西科技师范学院是一所全日制公办普通本科院校，位于素有“桂中”之称的新兴地级市-来宾市。...
湖北警官学院,/Html/site_hbpa.edu.cn.html,18397983,37,网站简介：...
湖南师大附中,/Html/site_hnsdfz.org.html,1004607,94,网站简介：海南师范大学附属中学，简称海师附中，创建于1980年，是一所年轻而又充满朝气的学校，是海南省教育厅直属的的重点完全中学、一级甲等学校。...
西安工程大学,/Html/site_xpu.edu.cn.html,61113,92,网站简介：西安工程大学简称“西工程”，位于世界历史名城古都西安，是由1978年成立的西北纺织工学院发展而成，其前身为1912年创办的北京高等工业专门学校机织科，其后历经国立北平大...
江苏警官学院,/Html/site_jspi.cn.html,1135934,19,网站简介：苏警官学院是我国首批建立的省属公安本科院校。学院前身是创办于1949年6月的南京市公安学校。...
沈阳大学,/site_www.syu.edu.cn.html,3988565,58,网站简介：沈阳大学（Shenyang University ）简称“沈大”，坐落在素有“东方鲁尔”之称的国家区域中心城市—沈阳，其历史可追溯到1906年建立的奉天实业学堂和新民公学堂，迄今已逾百...
天津美术学院,/Html/site_tjarts.edu.cn.html,649454,358,网站简介：天津美术学院官方网站（www.tjarts.edu.cn）。...
杭州外国语学校,/Html/site_chinahw.net.html,903443,19,网站简介：杭州外国语学校创建于1964年，是我国首批重点建设的外国语学校，由周恩来总理和陈毅外长提议创办，以培养高级外语人才，适应中国对外开放的发展需要。目前，我校是全国17所...
浙江科技学院图书馆,/Html/site_lib.zust.edu.cn.html,119954,2,网站简介：浙江科技学院图书馆目前图书馆总建筑面积为24000平方米。坐落于小和山的新馆恢弘大气，宽敞明亮，设有阅览座位近3000个。...
江苏建筑职业技术学院,/Html/site_jsjzi.edu.cn.html,828342,77,网站简介：江苏建筑职业技术学院位于江苏省徐州市，原为中国人民解放军基建工程兵第三技术学校，是全日制普通专科学校。...
广西民族大学图书馆,/Html/site_library.gxun.edu.cn.html,43343,1,网站简介：广西民族大学图书馆始建于1952年3月，至今已有56个年头。建馆之初，以收藏政治理论、民族问题、语言文学和农业技术方面的书刊为主。...
世贸通投资移民网,/Html/site_worldwayhk.com.html,2256438,176,"网站简介：【世贸通投资移民官网】专注美国投资移民,香港投资移民,葡萄牙投资移民,塞浦路斯投资移民,希腊投资移民条件,西班牙投资移民政策,安提瓜投资移民,海外买房移民,欧洲投资移民..."
滴答网,/Html/site_tigtag.com.html,1808696,745,"网站简介：滴答网是中国第一批创办出国,留学,移民,海外,海归的综合网站,是有影响力的出国留学,留学移民品牌网站,有出国留学移民,海外生活,留学生海归的专业资讯,有以华人为核心的留学..."
语文备课大师,/Html/site_xiexingcun.com.html,493668,253,网站简介：免费、便捷的中小学在线语文备课系统...
兰州文理学院,/Html/site_luas.edu.cn.html,711887,25,"网站简介：兰州文理学院是经教育部批准成立的一所省属公办全日制普通本科大学,其前身甘肃教育学院和甘肃联合大学分别创办于1950年和1985年。学校正在努力建设成为为甘肃培养文化、传媒..."
课堂派,/Html/site_ketangpai.com.html,185067,0,网站简介：A 课堂派是一款帮助老师批改作业的平台，课堂派提供包括在线作业批改、课堂点名、课程资源共享、师生交流及答疑在内的在线课堂管理工具。...
踏得网,/Html/site_techbrood.com.html,21965,2,网站简介：领先的web动画搜索和分享平台...
传媒配音网,/Html/site_cmpy.cn.html,806035,229,"网站简介：传媒配音网是中国专业配音网站,本配音网是从事网络配音服务的专业配音公司,提供专题配音,广告配音,宣传片配音等多语种网络配音服务...."
北京新东方学校,/site_bj.xdf.cn.html,3801,113,网站简介：【北京新东方学校】是中国教育培训著名品牌，校区遍布北京，领先的教育培训理念，优秀的教师培训队伍，提供专业、全面、优质的雅思培训、托福培训、新概念英语培训、少儿英...
西安高新第一中学,/Html/site_gxyzh.com.html,662830,59,网站简介：西安高新第一中学（简称“高新一中”）创办于1995年，地处西安高新开发区唐长安城墙遗址东侧，这里积淀着西安历史名城的文化精髓，又跳跃着现代科技的节奏与韵律。...
福州大学研究生院,/site_yjsy.fzu.edu.cn.html,17702,111,网站简介：福州大学于2005年开始以筹建形式成立研究生院。目前在校各类研究生已达到8400多人，是福建省唯一的全国专业学位研究生教育综合改革试点高校和全国工程硕士研究生教育创新院...
青岛大学 招生网,/site_zs.qdu.edu.cn.html,26449,5,网站简介：...
为您服务教育网,/site_www.wsbedu.com.html,2815177,210,网站简介：为您服务教育网，打造中国大的免费教育网。...
广东新生代产业工人圆梦计划报名系统,/Html/site_yuanmengjihua.com.html,5283162,8,网站简介：广东新生代产业工人圆梦计划报名系统...
福建基础教育网,/Html/site_fjjcjy.com.html,266396,150,网站简介：福建基础教育网（http://www.fjjcjy.com）是福建教育学院主办的为全省中小学校校长、教师提供教育、教研、科研资讯和培训、学习、交流的网站。网站本着“更专业、更实用、更...
江苏农牧科技职业学院,/Html/site_jsahvc.edu.cn.html,1586597,67,网站简介：江苏农牧科技职业学院是我国东南沿海地区乃至我国南方14个省市自治区唯一以培养农牧科技类技术技能型人才为主的高等院校。...
中国音乐学院,/site_www.ccmusic.edu.cn.html,732619,290,网站简介：中国音乐学院（China Conservatory of Music）位于北京市，是以中国传统音乐教育和研究为特色的综合性高等音乐学府，以培养从事民族音乐表演、创作、理论和科研工作的专门人...
厦门图书馆,/Html/site_xmlib.net.html,542042,76,网站简介：厦门市图书馆创办于1919年，有着九十多年的历史。原馆舍位于公园南路2号，由旅居香港的老读者杨贻瑶先生捐资兴建。2007年3月1日迁入厦门文化艺术中心新馆。新馆建筑面积257...
华东师范大学研究生招生信息网,/site_yjszs.ecnu.edu.cn.html,5278,0,网站简介：华东师范大学研究生招生办公室...
河海大学研究生院,/site_gs.hhu.edu.cn.html,17519,7,网站简介：河海大学研究生院官方网站...
好课件吧,/Html/site_goodkejian.com.html,928617,180,网站简介：本站免费提供小学语文课件、数学课件、英语课件及各学科课件、教案、试题、案例及其他教学相关资源。本站所有资源无需注册即可免费下载。...
吉林大学招生网,/site_zsb.jlu.edu.cn.html,2783,7,网站简介：吉林大学招生网是吉林大学官方网站下的招生专网，主要针对想报考吉林大学的考生，发布各类本科招生信息。...
中国传媒大学南广学院,/Html/site_cucn.edu.cn.html,456589,99,网站简介：中国传媒大学南广学院是中国广播电视人才的摇篮--中国传媒大学为了拓展品牌优势，培养更多传媒人才，满足社会对于传媒应用人才的需求，与华夏视听影视集团等社会资本合作，...
搜狐出国,/site_goabroad.sohu.com.html,35,231,网站简介：搜狐出国频道...
井冈山大学,/site_www.jgsu.edu.cn.html,1247746,70,网站简介：　井冈山大学是一所综合性普通本科院校，是江西省人民政府和教育部共同重点支持建设高校，也是同济大学对口支援高校、南京军区委托培养军队干部的高校。...
凤凰语文,/Html/site_xxyw.com.html,156249,378,网站简介：南京凤凰母语教育科学研究主办网站...
潍坊医学院,/site_www.wfmc.edu.cn.html,218688,62,网站简介：潍坊医学院是山东省省属普通高等医学院校，坐落于山东半岛中部闻名遐迩的世界风筝都—潍坊市。学校办学历史溯源于1881年的潍县乐道院，前身是始建于1889年的乐道院医护学校...
三亚学院,/Html/site_sanyau.edu.cn.html,825308,18,网站简介：三亚学院是国家教育部批准成立的民办普通本科院校，由吉利控股集团董事长、沃尔沃汽车公司董事长李书福先生出资建设。学校位于国际著名旅游城市三亚，环抱古人类文明遗址落...
中山大学研究生院,/site_graduate.sysu.edu.cn.html,3406,18,"网站简介：中山大学研究生院官方网站,研究生招生,研究生教育,研究生服务..."
环球网校,/Html/site_edu24ol.com.html,521805,3824,"网站简介：【环球网校官网】成立于2003年起，连续多年获评十佳网络教育机构，是职业教育行业知名的职业考试远程辅导机构,美国纳斯达克上市企业欢聚时代（nasdaq:yy）旗下品牌，致力打..."
成都农业科技职业学院,/Html/site_cdnkxy.com.html,439332,31,网站简介：成都农业科技职业学院（CHENGDU AGRICULTURAL COLLEGE）是四川省公立全日制普通高等院校，四川省级示范性高等职业院校，成都市人民政府主办的第一所高等职业学院，同时也是...
四川师范大学教务处,/site_jwc.sicnu.edu.cn.html,46965,2,网站简介：...
同济大学浙江学院,/Html/site_tjzj.edu.cn.html,810547,35,网站简介：同济大学浙江学院于2008年5月经国家教育部正式批准成立，由同济大学、宏达控股集团有限公司和嘉兴市教育投资有限责任公司合作举办，是一所按新机制和新模式运作的具有独立法...
